Image,X,Y,D_mm,d_mm,X_a0,Y_a0,X_a1,Y_a1
IMG_0266.png,600,1700,76.3,10,2000,1760,1350,1600
IMG_0267.png,1000,2200,76.3,10,2040,2240,1400,2100
IMG_0268.png,600,1200,76.3,10,1800,1200,1390,1090
IMG_0269.png,800,1400,76.3,10,2200,1410,1500,1300
IMG_0272.png,600,1080,76.3,10,2100,1120,1310,960
IMG_0273.png,600,1080,76.3,10,2170,1140,1360,980
IMG_0274.png,600,1400,57.4,10,1890,1400,960,1240
IMG_0275.png,600,1100,57.4,10,2010,1140,1160,1000
IMG_0276.png,600,1100,57.4,10,2210,1170,1160,1000
IMG_0279.png,500,1550,39.68,10,1700,1580,870,1480